agent,n,success_rate,goal_err_median,goal_err_p90,place_err_median_m,within_10cm,infer_ms_per_stroke,net_rate,out_rate,err_land_x,err_land_y,err_speed,err_topspin,err_sidespin,family,n_train,wall_seconds,demo_iters,demo_pop,eval_n,robust_k,robust_weight
policy-mlp,3000,0.793,0.1767191558434013,0.367071109813432,0.1273573833838856,0.4022698612862547,0.0004730333263675,0.0146666666666666,0.192,0.1118767560199548,0.036827670797019,0.4555673929876276,32.6882046685588,38.94751438817994,policy-mlp (hq demos),20000,0.3,8.0,256.0,3000,0.0,0.25
mdn,3000,0.9183333333333332,0.1526183223321126,0.3439467412250551,0.075392280902468,0.619600725952813,0.0005439999901379,0.0226666666666666,0.0586666666666666,0.0616447174269336,0.0261295885532252,0.5221620204857107,30.721846368863112,40.5387278326254,mdn (hq demos),20000,0.3,8.0,256.0,3000,0.0,0.25
mdn+rank,3000,0.5416666666666666,0.1755115953115635,0.5179126807241327,0.1041244326507309,0.4806153846153846,0.0010957333336894,0.1073333333333333,0.3253333333333333,0.0890483022147629,0.0258049471557098,0.5853655777562174,40.00843782820573,54.06677397845171,mdn+rank (hq demos),20000,0.3,8.0,256.0,3000,0.0,0.25
policy-mlp,3000,0.8073333333333333,0.1582477560960503,0.3528568373919774,0.1145408100772079,0.4475639966969447,0.0005367000121623,0.007,0.1856666666666666,0.1034678372411611,0.0313652917515003,0.4476930864910566,29.81560965345477,36.49220107049819,policy-mlp (hq demos),200000,0.3,8.0,256.0,3000,0.0,0.25
mdn,3000,0.9533333333333334,0.1609742845888261,0.3651814562328598,0.0610131897698016,0.701048951048951,0.0004825000263129,0.0056666666666666,0.041,0.0547031218512565,0.0160535959600365,0.4336906193711645,33.886096375829254,63.7178150819021,mdn (hq demos),200000,0.3,8.0,256.0,3000,0.0,0.25
mdn+rank,3000,0.889,0.1567650840191213,0.4003718383946764,0.0710322996359213,0.6314210723659542,0.0011409000338365,0.0186666666666666,0.0923333333333333,0.0626356270544661,0.0203043208511076,0.5465738367534305,38.21675587859701,41.26028085872778,mdn+rank (hq demos),200000,0.5,8.0,256.0,3000,0.0,0.25
knn,3000,0.6933333333333334,0.4495302180664016,0.7091731068929623,0.3547805642381395,0.054326923076923,0.0048674333374947,0.0683333333333333,0.238,0.2544277861422362,0.1523871724834093,0.8725318299734419,72.92346092355976,89.49638597333828,knn,500,0.4,5.0,64.0,3000,0.0,0.25
knn,3000,0.6836666666666666,0.4154466619643792,0.6691223858120693,0.3109237573600619,0.0843490980009751,0.0158642333311339,0.0483333333333333,0.2673333333333333,0.2364889076796826,0.1201417693296563,0.8467559957892012,71.48126729123221,81.97249973393332,knn,2000,0.4,5.0,64.0,3000,0.0,0.25
knn,3000,0.7366666666666667,0.3754897208407471,0.62363990438657,0.261702374424642,0.1171945701357466,0.1274834666789198,0.0356666666666666,0.2273333333333333,0.2111562291955548,0.0929260198824193,0.8634559742313823,75.04812602361645,86.1017367525074,knn,20000,0.7,5.0,64.0,3000,0.0,0.25
knn,3000,0.7413333333333333,0.3631273519353062,0.6094754732801998,0.2430583642783527,0.1214028776978417,0.3652564333363746,0.0333333333333333,0.2253333333333333,0.1986693039298115,0.0876890339747167,0.8139417169809549,72.47949943731524,86.30984097858618,knn,200000,1.5,5.0,64.0,3000,0.0,0.25
surrogate-cem-uniform,3000,0.001,1.3208899361524182,1.6346725046433122,1.271720473254168,0.0,0.1726931333153818,0.0,0.993,1.0235326517459555,0.3782566157582916,1.8476681318302264,456.2200615169952,292.3136699287355,surrogate-cem-uniform,500,0.9,5.0,64.0,3000,0.0,0.25
surrogate-grad-uniform,3000,0.017,0.955635014929762,1.4531402259307316,0.7806047224812834,0.0196078431372549,0.1003694333291302,0.002,0.9513333333333334,0.5043496583409682,0.4442293989896538,1.5222540801887057,137.8521874127934,162.27588720975243,surrogate-grad-uniform,500,0.9,5.0,64.0,3000,0.0,0.25
surrogate-cem,3000,0.0033333333333333,0.70523755013599,1.1532513678183067,0.6039275827628265,0.0,0.0855122666495541,0.0133333333333333,0.9416666666666668,0.4181561277655132,0.3711697502638947,2.548963661903623,82.19315716172153,177.98538394979454,surrogate-cem,500,0.7,5.0,64.0,3000,0.0,0.25
surrogate-grad,3000,0.035,0.7802207687962837,1.4114356736467977,0.5474116749196517,0.0285714285714285,0.0951274000108242,0.0346666666666666,0.8723333333333333,0.2339144044351089,0.3987307203949277,1.5077714516767386,135.67092183545458,109.0337320612789,surrogate-grad,500,0.8,5.0,64.0,3000,0.0,0.25
policy-mlp,3000,0.701,0.3920124081464482,0.5913089364972689,0.2988266679037115,0.0903471231573942,0.0004651000102361,0.0433333333333333,0.2426666666666666,0.2670829512674022,0.079035647094261,0.8472056375362218,72.8791502704768,94.827808060536,policy-mlp,500,0.3,5.0,64.0,3000,0.0,0.25
mdn,3000,0.7823333333333333,0.3784226308852491,0.6038927220736472,0.2779343473117914,0.1014060502769493,0.0013610000023618,0.094,0.102,0.2403870477806429,0.0802985898629868,0.9418945494812334,72.30347608065853,92.53607621782386,mdn,500,0.3,5.0,64.0,3000,0.0,0.25
mdn+rank,3000,0.484,0.5396343938023287,0.8850551731647999,0.4439610615836331,0.0282369146005509,0.0013655666649962,0.124,0.382,0.3047394827200301,0.2064518501615779,2.431769298049648,83.60452342853868,82.99169307816395,mdn+rank,500,0.3,5.0,64.0,3000,0.0,0.25
surrogate-cem-uniform,3000,0.0,,,,0.0,0.086410433325606,0.0,0.921,,,,,,surrogate-cem-uniform,2000,0.4,5.0,64.0,3000,0.0,0.25
surrogate-grad-uniform,3000,0.0286666666666666,0.8565426225786725,1.3478342150381808,0.6503252670315732,0.0232558139534883,0.0966451333370059,0.016,0.8393333333333334,0.3381352333601299,0.4260071768686637,1.6816399417726746,127.86557613067956,174.56640954216402,surrogate-grad-uniform,2000,0.8,5.0,64.0,3000,0.0,0.25
surrogate-cem,3000,0.005,0.5140242050508985,1.3293364863045107,0.5481696103358361,0.0,0.0863800666605432,0.0003333333333333,0.9823333333333332,0.4583360090452962,0.2738616477403365,2.7539308435483107,98.56163838512322,41.34842069093659,surrogate-cem,2000,0.7,5.0,64.0,3000,0.0,0.25
surrogate-grad,3000,0.0276666666666666,0.8483367456521341,1.4763007644910715,0.6339433304407112,0.0120481927710843,0.0957359666548048,0.0016666666666666,0.9366666666666666,0.4192701228741481,0.3663462210304546,1.2879568948300673,116.73131139102884,125.03463234076008,surrogate-grad,2000,0.9,5.0,64.0,3000,0.0,0.25
policy-mlp,3000,0.7096666666666667,0.4014351645637218,0.6176576865803864,0.3163656399562872,0.1028651949271958,0.0004056333564221,0.014,0.2763333333333333,0.2948574205359695,0.0638653360516551,0.8641187752582367,72.3609266132413,102.82885725278328,policy-mlp,2000,0.3,5.0,64.0,3000,0.0,0.25
mdn,3000,0.8666666666666667,0.3354111821377602,0.4860588748664782,0.215598344347641,0.1776923076923077,0.0005227666503439,0.0356666666666666,0.097,0.1933836443392164,0.0464212203695572,0.6045947406531962,79.15235357551481,102.01353571872042,mdn,2000,0.3,5.0,64.0,3000,0.0,0.25
mdn+rank,3000,0.638,0.2843485911234717,0.4389563931816065,0.2012275572872767,0.2037617554858934,0.0015354000109558,0.0573333333333333,0.304,0.1732948652916648,0.0536963093123625,0.8995896669368202,52.630154784476346,80.38428422149399,mdn+rank,2000,0.4,5.0,64.0,3000,0.0,0.25
policy-mlp,3000,0.736,0.3321981001031383,0.5651896193979246,0.2412792727234424,0.1802536231884058,0.0004043333077182,0.0016666666666666,0.2623333333333333,0.2254600063321982,0.0553038678650962,0.7400987903903409,65.4871461324759,86.74077755015337,policy-mlp,20000,0.3,5.0,64.0,3000,0.0,0.25
mdn,3000,0.975,0.3015382313759428,0.5171624245456947,0.1203103646835552,0.4157264957264957,0.0006504999861742,0.0013333333333333,0.0236666666666666,0.110922801907185,0.034105054974679,0.7347345862128689,80.11144279094313,93.41882139403526,mdn,20000,0.3,5.0,64.0,3000,0.0,0.25
mdn+rank,3000,0.9143333333333332,0.3533526093895338,0.5979731369164214,0.1304219949934526,0.3682099890630696,0.0013755333299438,0.0003333333333333,0.0853333333333333,0.1214370752462543,0.0297887648302087,0.8463674507114121,97.62890779365048,116.2660172268502,mdn+rank,20000,0.3,5.0,64.0,3000,0.0,0.25
policy-mlp,3000,0.7366666666666667,0.3276611030391716,0.5706350978767889,0.2384806480304997,0.1963800904977375,0.0005416666778425,0.0006666666666666,0.2626666666666666,0.2250215843755331,0.0553661051018241,0.7221679188497663,63.97550227475392,84.12353806271496,policy-mlp,200000,0.3,5.0,64.0,3000,0.0,0.25
mdn,3000,0.9853333333333332,0.2972677352572218,0.5170732654090022,0.1047320816244544,0.4800405953991881,0.0005491333237538,0.0,0.0146666666666666,0.0948731498004532,0.0272581332971841,0.7582620321062743,71.57151684366258,107.9843217471842,mdn,200000,0.3,5.0,64.0,3000,0.0,0.25
