agent,n,success_rate,goal_err_median,goal_err_p90,place_err_median_m,within_10cm,infer_ms_per_stroke,net_rate,out_rate,err_land_x,err_land_y,err_speed,err_topspin,err_sidespin,family,n_train,wall_seconds,demo_iters,demo_pop,eval_n
knn,3000,0.7433333333333333,0.3220695452221507,0.5492661211191373,0.2695992564579504,0.1071748878923766,0.0849607000127434,0.05,0.2046666666666666,0.2010438630659741,0.11176567910403,0.6656591000704006,45.25739138260642,45.88763952568989,knn (hq demos),2000,0.6,8.0,256.0,3000
knn,3000,0.7933333333333333,0.2676187730168796,0.4883032177799966,0.2182442006646595,0.1630252100840336,0.8243116333615035,0.0423333333333333,0.1643333333333333,0.1630854346248221,0.0893334418490185,0.593372274400048,40.91180425243897,43.5364617449708,knn (hq demos),20000,2.9,8.0,256.0,3000
policy-mlp,3000,0.6083333333333333,0.3555707580107383,0.6361549589615472,0.3256959442713317,0.0750684931506849,0.0005299667051682,0.047,0.2963333333333333,0.2818263057466004,0.0971999891908044,0.7752234731758794,45.645353557589615,52.13709123161064,policy-mlp (hq demos),500,0.3,8.0,256.0,3000
mdn,3000,0.6396666666666667,0.3341139700920334,0.5884524248862918,0.3114914002130181,0.085461177696717,0.001373133311669,0.1003333333333333,0.2083333333333333,0.2650939482914114,0.0830676787874784,0.898265913178653,45.67749999531509,50.31048803078289,mdn (hq demos),500,0.3,8.0,256.0,3000
mdn+rank,3000,0.455,0.4149109978673507,0.738494784878889,0.3452078721061873,0.0695970695970696,0.0013479666473964,0.0156666666666666,0.4433333333333333,0.2737653954297017,0.120503802155865,0.7773336047853396,57.28584791303129,52.01095205289215,mdn+rank (hq demos),2000,0.4,8.0,256.0,3000
surrogate-cem-uniform,3000,0.0026666666666666,0.9622548952319896,1.1598098379252082,0.8325197356414,0.0,0.1228612333070486,0.0023333333333333,0.9946666666666668,0.6945096027770433,0.1390552777998225,11.37246223478819,16.993131762935633,53.42857653926323,surrogate-cem-uniform,20000,1.0,8.0,256.0,3000
surrogate-grad-uniform,3000,0.0906666666666666,0.7195323353097199,1.1104381858154675,0.5213869735248395,0.0110294117647058,0.0906781666756918,0.0736666666666666,0.7593333333333333,0.3440124409101124,0.2976609117148699,1.551233543667045,108.67573979869503,145.29916604608798,surrogate-grad-uniform,20000,0.7,8.0,256.0,3000
surrogate-cem,3000,0.3516666666666667,0.594051717442251,0.9295116721920098,0.4752110694236519,0.0284360189573459,0.0773469666795184,0.0116666666666666,0.6256666666666667,0.3858447243709643,0.1716124813157969,0.624061572411466,105.38780443249829,131.14112339118074,surrogate-cem,20000,0.5,8.0,256.0,3000
surrogate-grad,3000,0.2606666666666666,0.7451621550908627,1.2023700138575164,0.5931312977561454,0.0140664961636828,0.0906052667026718,0.0433333333333333,0.6693333333333333,0.3774473949161726,0.3205280111706683,0.8373357047847403,116.58771444773538,158.1722932429322,surrogate-grad,20000,0.7,8.0,256.0,3000
policy-mlp,3000,0.7436666666666667,0.306638732866079,0.5443963549139915,0.2867637273951081,0.1147467503361721,0.0008414000427971,0.0403333333333333,0.196,0.2537002074840525,0.0675657339377955,0.6256349389841498,39.46000764234827,53.0163633936146,policy-mlp (hq demos),2000,0.3,8.0,256.0,3000
mdn,3000,0.73,0.2300042603755581,0.4101892257738087,0.2075079356338351,0.1876712328767123,0.0004702666774392,0.0863333333333333,0.1633333333333333,0.1687934156836102,0.0640600334726092,0.500370010744347,30.565472661359685,39.244675855934105,mdn (hq demos),2000,0.3,8.0,256.0,3000
mdn+rank,3000,0.6836666666666666,0.2739429464389009,0.4698070486069034,0.2130126939908362,0.1925889809848854,0.0014060333681603,0.0506666666666666,0.2476666666666666,0.1759125418650939,0.0608284219691328,0.5194575463294768,51.03433876416536,70.5792858838026,mdn+rank (hq demos),20000,0.4,8.0,256.0,3000
surrogate-cem-uniform,3000,0.3296666666666666,0.7252994076238363,1.110685071041705,0.5987828066577064,0.0273003033367037,0.0826747333630919,0.0003333333333333,0.6693333333333333,0.4816455699859054,0.2304260901303609,1.340990495758029,176.3783388942689,89.81835051972388,surrogate-cem-uniform,200000,1.0,8.0,256.0,3000
surrogate-grad-uniform,3000,0.422,0.8775764839701118,1.3731465874384012,0.6206124642947344,0.0189573459715639,0.0956381666474044,0.0346666666666666,0.5303333333333333,0.344840027202106,0.3647066037550661,1.213720719079129,161.76271774983576,152.96235954706043,surrogate-grad-uniform,200000,0.9,8.0,256.0,3000
surrogate-cem,3000,0.8856666666666667,0.515009252531661,0.8261141555784524,0.330415654497575,0.0745201354911554,0.0772088665980845,0.019,0.0916666666666666,0.23923493739056,0.1369205790588916,0.9945661601879614,111.16125878925529,99.88502715704604,surrogate-cem,200000,0.7,8.0,256.0,3000
surrogate-grad,3000,0.649,0.684640927880554,1.114119915412331,0.4333734062890009,0.0349255264509501,0.0921468666444222,0.0923333333333333,0.2273333333333333,0.2679122740960009,0.230953106186823,1.068327786647412,150.52146261842978,150.83335974952757,surrogate-grad,200000,0.8,8.0,256.0,3000
policy-mlp,3000,0.793,0.1767191558434013,0.367071109813432,0.1273573833838856,0.4022698612862547,0.0008481332721809,0.0146666666666666,0.192,0.1118767560199548,0.036827670797019,0.4555673929876276,32.6882046685588,38.94751438817994,policy-mlp (hq demos),20000,0.3,8.0,256.0,3000
mdn,3000,0.9183333333333332,0.1526183223321126,0.3439467412250551,0.075392280902468,0.619600725952813,0.0005221333509931,0.0226666666666666,0.0586666666666666,0.0616447174269336,0.0261295885532252,0.5221620204857107,30.721846368863112,40.5387278326254,mdn (hq demos),20000,0.3,8.0,256.0,3000
mdn+rank,3000,0.841,0.1705186817806609,0.3790426352844633,0.0864867429427034,0.5560840269520412,0.0010997333253423,0.0226666666666666,0.134,0.070337680571143,0.0285083260673353,0.5366350660249903,37.0812891884524,39.83117690663154,mdn+rank (hq demos),200000,0.4,8.0,256.0,3000
