schema,rally_id,stroke_id,t,source,in_pos_x,in_pos_y,in_pos_z,in_vel_x,in_vel_y,in_vel_z,in_spin_x,in_spin_y,in_spin_z,serve_pos_x,serve_pos_y,serve_pos_z,serve_vel_x,serve_vel_y,serve_vel_z,paddle_pos_x,paddle_pos_y,paddle_pos_z,paddle_normal_x,paddle_normal_y,paddle_normal_z,paddle_vel_x,paddle_vel_y,paddle_vel_z,out_vel_x,out_vel_y,out_vel_z,out_spin_x,out_spin_y,out_spin_z,landing_x,landing_y,landing_z,result,net_clearance,flight_time,bounces
2,12,1,1787408415.4298,human,-1.108985,0.257017,0.869562,-4.334821,0.164029,1.159724,2.555572,-118.053765,49.660564,0.887906,0.047655,0.942692,-6.575690,1.024056,1.087539,-1.120000,0.257422,0.872387,0.925663,-0.328324,-0.188020,1.858144,0.681800,5.938695,4.840049,-1.523627,2.640960,61.357184,114.681665,-58.800507,0.705208,-0.454199,0.779996,in,,,1
2,13,1,1787408419.6739,human,-1.114095,0.014292,1.008753,-2.607938,-0.029894,0.326479,8.856098,-103.458002,-48.735446,0.965890,0.164396,1.055131,-4.632901,-0.640751,1.230635,-1.120000,0.014231,1.009388,0.984343,-0.145325,-0.099749,3.899490,1.730667,1.837522,8.760384,-0.992641,0.849685,20.352917,20.424587,-101.424572,1.185644,-0.434287,0.779999,in,,,1
2,14,1,1787408423.7846,human,-1.106339,0.494584,0.938886,-1.600815,0.781882,-1.586691,-40.133843,-82.815069,-1.435612,0.812143,-0.257277,1.047416,-3.206594,1.095815,1.596240,-1.120000,0.501257,0.924839,0.995812,-0.048083,-0.077765,3.552121,0.396025,9.092052,6.877373,0.283750,2.862852,-19.396499,298.864677,5.054222,0.904787,0.584214,0.780000,in,,,1
2,15,1,1787408427.5970,human,-1.111478,-0.258341,0.941056,-3.244269,-0.306072,0.851385,10.884216,-48.950268,-21.373081,0.957055,-0.016824,1.059650,-5.308040,-0.759467,0.758636,-1.120000,-0.259142,0.943197,0.941922,0.200265,-0.269585,4.729931,1.201690,9.106981,7.874369,1.815524,2.310608,-54.221932,278.879754,-4.167471,0.776426,0.170132,0.779998,in,,,1
2,16,1,1787408431.3195,human,-1.113056,0.084297,0.869443,-3.484259,-0.173927,1.441622,-3.370253,-46.440551,-52.253804,0.850467,0.330663,1.038023,-5.499021,-1.027920,0.825005,-1.120000,0.083956,0.872263,0.982485,0.034863,-0.183051,3.048486,0.087534,7.685457,6.895494,-0.212323,2.871580,-6.809707,201.421691,-22.242114,1.097485,-0.024452,0.779998,in,,,1
2,17,1,1787408435.1741,human,-1.119981,0.067063,0.841794,-3.131503,-0.422358,2.154524,19.747044,-155.641103,52.967098,0.850520,0.242427,1.000733,-5.432568,-0.150045,1.774250,-1.120000,0.067053,0.841709,0.973825,0.065544,-0.217643,2.208666,-1.107883,1.245558,-3.131503,-0.422358,2.154524,19.747044,-155.641103,52.967098,-1.720365,-0.034816,1.002667,out,,,0
2,18,1,1787408438.6315,human,-1.117866,-0.202828,0.911007,-3.497703,-0.594358,0.476039,32.200968,-97.187873,35.074449,0.811198,-0.031874,0.925991,-5.497131,-0.216757,1.141685,-1.120000,-0.203197,0.911193,0.949500,0.292390,-0.113829,2.202205,-1.453053,8.860350,4.700106,1.178274,3.934649,-58.690076,219.121450,88.602531,1.039247,0.623540,0.779996,in,,,1
2,1,1,1787408471.9305,human,-1.119854,-0.105587,0.878604,-3.234550,-0.630059,1.791295,20.603905,-144.626936,38.229072,0.896200,0.337241,1.010741,-5.595768,-1.004037,1.557119,-1.120000,-0.105621,0.878571,0.956418,0.142689,-0.254765,3.577568,-2.748553,4.819421,7.443835,0.006171,2.080933,5.857872,80.261058,106.732093,1.202769,0.130190,0.779999,in,,,1
2,2,1,1787408475.7833,human,-1.114144,0.028919,0.849912,-3.594159,0.039083,1.672826,-17.220440,-104.473487,-7.381935,1.103477,0.117311,0.927132,-5.993979,-0.318535,1.723104,-1.120000,0.028985,0.852528,0.977892,-0.182823,-0.101507,1.832793,-1.545189,0.588665,6.909800,-2.210455,1.224342,-6.391252,-57.371549,13.591475,1.076712,-0.638327,0.780000,in,,,1
2,3,1,1787408479.7415,human,-1.106809,-0.061714,0.984316,-2.707699,0.456750,0.017326,-20.419025,-135.267875,-17.287992,0.955347,-0.294711,0.973487,-4.732546,0.375394,1.497970,-1.120000,-0.059484,0.984204,0.980787,0.172230,-0.091617,2.115618,1.311504,1.836725,6.183165,1.848919,1.139502,-42.433488,8.729148,-5.040327,0.769590,0.485748,0.779998,in,,,1
2,4,1,1787408483.6571,human,-1.111251,0.371273,0.860708,-3.729443,1.593354,1.842313,-64.572049,-162.551448,-46.690726,0.997121,-0.440889,0.977096,-6.515786,2.152992,1.665044,-1.120000,0.375023,0.864876,0.850926,-0.353229,-0.388785,2.565828,-2.262851,6.356348,5.413749,-3.062851,2.080686,76.635327,119.631206,8.643770,0.454753,-0.497085,0.779997,in,,,1
2,1,1,1787408505.2357,human,-1.112009,0.085205,0.992637,-3.149255,0.498455,0.639392,-26.716567,-155.466339,17.519082,1.063040,-0.372756,0.947029,-4.954260,1.207808,1.987316,-1.120000,0.086467,0.994162,0.979014,0.020969,-0.202713,3.620165,-2.789618,4.187223,8.268365,-0.541673,1.519816,-10.673844,82.802036,111.513731,1.251364,0.156749,0.779999,in,,,1
2,2,1,1787408509.2831,human,-1.099913,0.203704,1.035931,-2.589217,0.120018,-0.356924,-7.269618,-128.941169,7.579262,1.045533,0.104882,1.021288,-4.166485,0.218725,1.674827,-1.120000,0.204631,1.032709,0.955650,-0.294204,-0.013293,3.044598,-1.893759,-0.695694,8.155048,-3.232548,0.392790,11.139698,-64.039992,10.815094,1.285072,-0.709106,0.779999,in,,,1
